gauntlet: agent@engine vs agent@checkpoints/repfix | SPRT elo0=0.0 elo1=8.0 alpha=0.025 beta=0.025 max_games=1500 | 10000ms+100ms | 3 workers
   1 games  +1 =0 -0   +1600 Elo +/- 0   3fold=0 (0%)   132s      mean=1.000 LLR=+0.00 [CONTINUE]
 419 games  +122 =198 -99   +19 Elo +/- 24   3fold=166 (40%)   4390s      mean=0.527 LLR=+0.80 [CONTINUE]
 420 games  +122 =199 -99   +19 Elo +/- 24   3fold=167 (40%)   4410s      mean=0.527 LLR=+0.80 [CONTINUE]
 421 games  +122 =200 -99   +19 Elo +/- 24   3fold=168 (40%)   4410s      mean=0.527 LLR=+0.80 [CONTINUE]
 422 games  +122 =201 -99   +19 Elo +/- 24   3fold=168 (40%)   4430s      mean=0.527 LLR=+0.80 [CONTINUE]
 423 games  +122 =202 -99   +19 Elo +/- 24   3fold=169 (40%)   4436s      mean=0.527 LLR=+0.80 [CONTINUE]
 424 games  +122 =203 -99   +19 Elo +/- 24   3fold=170 (40%)   4454s      mean=0.527 LLR=+0.80 [CONTINUE]
 425 games  +122 =204 -99   +19 Elo +/- 24   3fold=171 (40%)   4464s      mean=0.527 LLR=+0.81 [CONTINUE]
 426 games  +122 =204 -100   +18 Elo +/- 24   3fold=171 (40%)   4466s      mean=0.526 LLR=+0.76 [CONTINUE]
 427 games  +122 =205 -100   +18 Elo +/- 24   3fold=172 (40%)   4485s      mean=0.526 LLR=+0.76 [CONTINUE]
 428 games  +123 =205 -100   +19 Elo +/- 24   3fold=172 (40%)   4493s      mean=0.527 LLR=+0.80 [CONTINUE]
 429 games  +123 =206 -100   +19 Elo +/- 24   3fold=173 (40%)   4496s      mean=0.527 LLR=+0.80 [CONTINUE]
 430 games  +123 =206 -101   +18 Elo +/- 24   3fold=173 (40%)   4514s      mean=0.526 LLR=+0.76 [CONTINUE]
 431 games  +123 =206 -102   +17 Elo +/- 24   3fold=173 (40%)   4523s      mean=0.524 LLR=+0.71 [CONTINUE]
 432 games  +123 =207 -102   +17 Elo +/- 24   3fold=174 (40%)   4524s      mean=0.524 LLR=+0.71 [CONTINUE]
 433 games  +123 =208 -102   +17 Elo +/- 24   3fold=175 (40%)   4545s      mean=0.524 LLR=+0.71 [CONTINUE]
 434 games  +123 =208 -103   +16 Elo +/- 24   3fold=175 (40%)   4548s      mean=0.523 LLR=+0.67 [CONTINUE]
 435 games  +123 =208 -104   +15 Elo +/- 24   3fold=175 (40%)   4553s      mean=0.522 LLR=+0.62 [CONTINUE]
 436 games  +123 =208 -105   +14 Elo +/- 24   3fold=175 (40%)   4578s      mean=0.521 LLR=+0.57 [CONTINUE]
 437 games  +123 =209 -105   +14 Elo +/- 24   3fold=176 (40%)   4581s      mean=0.521 LLR=+0.57 [CONTINUE]
 438 games  +123 =209 -106   +13 Elo +/- 24   3fold=176 (40%)   4584s      mean=0.519 LLR=+0.53 [CONTINUE]
 439 games  +124 =209 -106   +14 Elo +/- 24   3fold=176 (40%)   4607s      mean=0.521 LLR=+0.57 [CONTINUE]
 440 games  +124 =210 -106   +14 Elo +/- 24   3fold=177 (40%)   4607s      mean=0.520 LLR=+0.57 [CONTINUE]
 441 games  +125 =210 -106   +15 Elo +/- 24   3fold=177 (40%)   4613s      mean=0.522 LLR=+0.61 [CONTINUE]
 442 games  +125 =210 -107   +14 Elo +/- 24   3fold=177 (40%)   4634s      mean=0.520 LLR=+0.57 [CONTINUE]
 443 games  +125 =211 -107   +14 Elo +/- 23   3fold=178 (40%)   4636s      mean=0.520 LLR=+0.57 [CONTINUE]
 444 games  +125 =212 -107   +14 Elo +/- 23   3fold=179 (40%)   4638s      mean=0.520 LLR=+0.57 [CONTINUE]
 445 games  +125 =212 -108   +13 Elo +/- 23   3fold=179 (40%)   4666s      mean=0.519 LLR=+0.52 [CONTINUE]
 446 games  +126 =212 -108   +14 Elo +/- 23   3fold=179 (40%)   4666s      mean=0.520 LLR=+0.57 [CONTINUE]
 447 games  +126 =212 -109   +13 Elo +/- 23   3fold=179 (40%)   4671s      mean=0.519 LLR=+0.52 [CONTINUE]
 448 games  +126 =213 -109   +13 Elo +/- 23   3fold=180 (40%)   4697s      mean=0.519 LLR=+0.52 [CONTINUE]
 449 games  +126 =213 -110   +12 Elo +/- 23   3fold=180 (40%)   4697s      mean=0.518 LLR=+0.48 [CONTINUE]
 450 games  +127 =213 -110   +13 Elo +/- 23   3fold=180 (40%)   4701s      mean=0.519 LLR=+0.52 [CONTINUE]
 451 games  +127 =214 -110   +13 Elo +/- 23   3fold=181 (40%)   4727s      mean=0.519 LLR=+0.52 [CONTINUE]
 452 games  +127 =214 -111   +12 Elo +/- 23   3fold=181 (40%)   4730s      mean=0.518 LLR=+0.47 [CONTINUE]
 453 games  +127 =215 -111   +12 Elo +/- 23   3fold=182 (40%)   4733s      mean=0.518 LLR=+0.47 [CONTINUE]
 454 games  +128 =215 -111   +13 Elo +/- 23   3fold=182 (40%)   4756s      mean=0.519 LLR=+0.52 [CONTINUE]
 455 games  +129 =215 -111   +14 Elo +/- 23   3fold=182 (40%)   4763s      mean=0.520 LLR=+0.56 [CONTINUE]
 456 games  +129 =216 -111   +14 Elo +/- 23   3fold=183 (40%)   4767s      mean=0.520 LLR=+0.56 [CONTINUE]
 457 games  +129 =216 -112   +13 Elo +/- 23   3fold=183 (40%)   4790s      mean=0.519 LLR=+0.51 [CONTINUE]
 458 games  +129 =217 -112   +13 Elo +/- 23   3fold=184 (40%)   4792s      mean=0.519 LLR=+0.51 [CONTINUE]
 459 games  +130 =217 -112   +14 Elo +/- 23   3fold=184 (40%)   4796s      mean=0.520 LLR=+0.56 [CONTINUE]
 460 games  +130 =218 -112   +14 Elo +/- 23   3fold=185 (40%)   4822s      mean=0.520 LLR=+0.56 [CONTINUE]
 461 games  +130 =218 -113   +13 Elo +/- 23   3fold=185 (40%)   4824s      mean=0.518 LLR=+0.51 [CONTINUE]
 462 games  +130 =219 -113   +13 Elo +/- 23   3fold=186 (40%)   4828s      mean=0.518 LLR=+0.51 [CONTINUE]
 463 games  +131 =219 -113   +14 Elo +/- 23   3fold=186 (40%)   4852s      mean=0.519 LLR=+0.56 [CONTINUE]
 464 games  +131 =220 -113   +13 Elo +/- 23   3fold=187 (40%)   4854s      mean=0.519 LLR=+0.56 [CONTINUE]
 465 games  +131 =221 -113   +13 Elo +/- 23   3fold=188 (40%)   4868s      mean=0.519 LLR=+0.56 [CONTINUE]
 466 games  +131 =222 -113   +13 Elo +/- 23   3fold=189 (41%)   4878s      mean=0.519 LLR=+0.56 [CONTINUE]
 467 games  +131 =222 -114   +13 Elo +/- 23   3fold=189 (40%)   4886s      mean=0.518 LLR=+0.51 [CONTINUE]
 468 games  +132 =222 -114   +13 Elo +/- 23   3fold=189 (40%)   4899s      mean=0.519 LLR=+0.55 [CONTINUE]
 469 games  +132 =223 -114   +13 Elo +/- 23   3fold=190 (41%)   4910s      mean=0.519 LLR=+0.55 [CONTINUE]
 470 games  +133 =223 -114   +14 Elo +/- 23   3fold=190 (40%)   4918s      mean=0.520 LLR=+0.60 [CONTINUE]
 471 games  +133 =223 -115   +13 Elo +/- 23   3fold=190 (40%)   4931s      mean=0.519 LLR=+0.55 [CONTINUE]
 472 games  +133 =223 -116   +13 Elo +/- 23   3fold=190 (40%)   4940s      mean=0.518 LLR=+0.51 [CONTINUE]
 473 games  +133 =223 -117   +12 Elo +/- 23   3fold=190 (40%)   4947s      mean=0.517 LLR=+0.46 [CONTINUE]
 474 games  +134 =223 -117   +12 Elo +/- 23   3fold=190 (40%)   4963s      mean=0.518 LLR=+0.50 [CONTINUE]
 475 games  +134 =224 -117   +12 Elo +/- 23   3fold=191 (40%)   4971s      mean=0.518 LLR=+0.50 [CONTINUE]
 476 games  +134 =225 -117   +12 Elo +/- 23   3fold=191 (40%)   4980s      mean=0.518 LLR=+0.50 [CONTINUE]
 477 games  +134 =226 -117   +12 Elo +/- 23   3fold=192 (40%)   4997s      mean=0.518 LLR=+0.50 [CONTINUE]
 478 games  +135 =226 -117   +13 Elo +/- 23   3fold=192 (40%)   5005s      mean=0.519 LLR=+0.55 [CONTINUE]
 479 games  +135 =227 -117   +13 Elo +/- 23   3fold=193 (40%)   5006s      mean=0.519 LLR=+0.55 [CONTINUE]
 480 games  +136 =227 -117   +14 Elo +/- 23   3fold=193 (40%)   5026s      mean=0.520 LLR=+0.59 [CONTINUE]
 481 games  +136 =228 -117   +14 Elo +/- 23   3fold=194 (40%)   5029s      mean=0.520 LLR=+0.59 [CONTINUE]
 482 games  +136 =229 -117   +14 Elo +/- 23   3fold=195 (40%)   5031s      mean=0.520 LLR=+0.59 [CONTINUE]
 483 games  +136 =230 -117   +14 Elo +/- 22   3fold=196 (41%)   5049s      mean=0.520 LLR=+0.59 [CONTINUE]
 484 games  +137 =230 -117   +14 Elo +/- 22   3fold=196 (40%)   5056s      mean=0.521 LLR=+0.64 [CONTINUE]
 485 games  +138 =230 -117   +15 Elo +/- 22   3fold=196 (40%)   5059s      mean=0.522 LLR=+0.68 [CONTINUE]
 486 games  +138 =231 -117   +15 Elo +/- 22   3fold=197 (41%)   5078s      mean=0.522 LLR=+0.68 [CONTINUE]
 487 games  +138 =232 -117   +15 Elo +/- 22   3fold=198 (41%)   5081s      mean=0.522 LLR=+0.68 [CONTINUE]
 488 games  +138 =232 -118   +14 Elo +/- 22   3fold=198 (41%)   5090s      mean=0.520 LLR=+0.63 [CONTINUE]
 489 games  +138 =233 -118   +14 Elo +/- 22   3fold=199 (41%)   5111s      mean=0.520 LLR=+0.63 [CONTINUE]
 490 games  +139 =233 -118   +15 Elo +/- 22   3fold=199 (41%)   5112s      mean=0.521 LLR=+0.68 [CONTINUE]
 491 games  +139 =233 -119   +14 Elo +/- 22   3fold=199 (41%)   5119s      mean=0.520 LLR=+0.63 [CONTINUE]
 492 games  +139 =234 -119   +14 Elo +/- 22   3fold=200 (41%)   5136s      mean=0.520 LLR=+0.63 [CONTINUE]
 493 games  +139 =235 -119   +14 Elo +/- 22   3fold=201 (41%)   5137s      mean=0.520 LLR=+0.63 [CONTINUE]
 494 games  +140 =235 -119   +15 Elo +/- 22   3fold=201 (41%)   5151s      mean=0.521 LLR=+0.67 [CONTINUE]
*** ANOMALY ***  crash:agent died as white (0-1) -- caused by agent@engine
 495 games  +140 =235 -120   +14 Elo +/- 22   3fold=201 (41%)   5160s   ANOMALIES: 1   mean=0.520 LLR=+0.63 [CONTINUE]
