gauntlet: agent@engine vs agent@checkpoints/v1 | SPRT elo0=0.0 elo1=8.0 alpha=0.025 beta=0.025 max_games=1500 | 10000ms+100ms | 3 workers
   1 games  +0 =1 -0   -0 Elo +/- 0   128s      mean=0.500 LLR=+0.00 [CONTINUE]
 505 games  +63 =376 -66   -2 Elo +/- 15   4731s      mean=0.497 LLR=-0.79 [CONTINUE]
 506 games  +63 =377 -66   -2 Elo +/- 15   4749s      mean=0.497 LLR=-0.80 [CONTINUE]
 507 games  +63 =378 -66   -2 Elo +/- 15   4757s      mean=0.497 LLR=-0.80 [CONTINUE]
 508 games  +63 =379 -66   -2 Elo +/- 15   4757s      mean=0.497 LLR=-0.80 [CONTINUE]
 509 games  +63 =380 -66   -2 Elo +/- 15   4779s      mean=0.497 LLR=-0.80 [CONTINUE]
 510 games  +63 =381 -66   -2 Elo +/- 15   4785s      mean=0.497 LLR=-0.81 [CONTINUE]
 511 games  +63 =382 -66   -2 Elo +/- 15   4785s      mean=0.497 LLR=-0.81 [CONTINUE]
 512 games  +63 =383 -66   -2 Elo +/- 15   4811s      mean=0.497 LLR=-0.81 [CONTINUE]
 513 games  +63 =384 -66   -2 Elo +/- 15   4812s      mean=0.497 LLR=-0.82 [CONTINUE]
 514 games  +64 =384 -66   -1 Elo +/- 15   4812s      mean=0.498 LLR=-0.72 [CONTINUE]
 515 games  +65 =384 -66   -1 Elo +/- 15   4838s      mean=0.499 LLR=-0.63 [CONTINUE]
 516 games  +65 =385 -66   -1 Elo +/- 15   4839s      mean=0.499 LLR=-0.63 [CONTINUE]
 517 games  +65 =386 -66   -1 Elo +/- 15   4841s      mean=0.499 LLR=-0.63 [CONTINUE]
 518 games  +65 =387 -66   -1 Elo +/- 15   4870s      mean=0.499 LLR=-0.63 [CONTINUE]
 519 games  +65 =388 -66   -1 Elo +/- 15   4870s      mean=0.499 LLR=-0.64 [CONTINUE]
 520 games  +66 =388 -66   -0 Elo +/- 15   4871s      mean=0.500 LLR=-0.54 [CONTINUE]
 521 games  +66 =389 -66   -0 Elo +/- 15   4899s      mean=0.500 LLR=-0.54 [CONTINUE]
 522 games  +66 =389 -67   -1 Elo +/- 15   4901s      mean=0.499 LLR=-0.63 [CONTINUE]
 523 games  +66 =390 -67   -1 Elo +/- 15   4903s      mean=0.499 LLR=-0.64 [CONTINUE]
 524 games  +66 =391 -67   -1 Elo +/- 15   4930s      mean=0.499 LLR=-0.64 [CONTINUE]
 525 games  +66 =392 -67   -1 Elo +/- 15   4932s      mean=0.499 LLR=-0.64 [CONTINUE]
 526 games  +66 =393 -67   -1 Elo +/- 15   4934s      mean=0.499 LLR=-0.64 [CONTINUE]
 527 games  +66 =394 -67   -1 Elo +/- 15   4959s      mean=0.499 LLR=-0.64 [CONTINUE]
 528 games  +66 =394 -68   -1 Elo +/- 15   4960s      mean=0.498 LLR=-0.73 [CONTINUE]
 529 games  +66 =394 -69   -2 Elo +/- 15   4964s      mean=0.497 LLR=-0.82 [CONTINUE]
 530 games  +66 =395 -69   -2 Elo +/- 15   4983s      mean=0.497 LLR=-0.82 [CONTINUE]
 531 games  +66 =396 -69   -2 Elo +/- 15   4989s      mean=0.497 LLR=-0.83 [CONTINUE]
 532 games  +66 =397 -69   -2 Elo +/- 15   4992s      mean=0.497 LLR=-0.83 [CONTINUE]
 533 games  +66 =398 -69   -2 Elo +/- 15   5012s      mean=0.497 LLR=-0.83 [CONTINUE]
 534 games  +67 =398 -69   -1 Elo +/- 15   5019s      mean=0.498 LLR=-0.74 [CONTINUE]
 535 games  +67 =399 -69   -1 Elo +/- 15   5019s      mean=0.498 LLR=-0.74 [CONTINUE]
 536 games  +68 =399 -69   -1 Elo +/- 15   5042s      mean=0.499 LLR=-0.65 [CONTINUE]
 537 games  +68 =400 -69   -1 Elo +/- 15   5047s      mean=0.499 LLR=-0.65 [CONTINUE]
 538 games  +68 =401 -69   -1 Elo +/- 15   5048s      mean=0.499 LLR=-0.65 [CONTINUE]
 539 games  +68 =402 -69   -1 Elo +/- 15   5071s      mean=0.499 LLR=-0.65 [CONTINUE]
 540 games  +69 =402 -69   -0 Elo +/- 15   5074s      mean=0.500 LLR=-0.56 [CONTINUE]
 541 games  +69 =403 -69   -0 Elo +/- 15   5075s      mean=0.500 LLR=-0.56 [CONTINUE]
 542 games  +69 =404 -69   -0 Elo +/- 15   5096s      mean=0.500 LLR=-0.56 [CONTINUE]
 543 games  +69 =405 -69   -0 Elo +/- 15   5100s      mean=0.500 LLR=-0.57 [CONTINUE]
 544 games  +69 =406 -69   -0 Elo +/- 15   5105s      mean=0.500 LLR=-0.57 [CONTINUE]
 545 games  +69 =406 -70   -1 Elo +/- 15   5124s      mean=0.499 LLR=-0.66 [CONTINUE]
 546 games  +69 =407 -70   -1 Elo +/- 15   5126s      mean=0.499 LLR=-0.66 [CONTINUE]
 547 games  +69 =408 -70   -1 Elo +/- 15   5130s      mean=0.499 LLR=-0.66 [CONTINUE]
 548 games  +69 =409 -70   -1 Elo +/- 15   5150s      mean=0.499 LLR=-0.66 [CONTINUE]
 549 games  +69 =410 -70   -1 Elo +/- 15   5155s      mean=0.499 LLR=-0.67 [CONTINUE]
 550 games  +70 =410 -70   -0 Elo +/- 15   5161s      mean=0.500 LLR=-0.57 [CONTINUE]
 551 games  +70 =411 -70   -0 Elo +/- 15   5177s      mean=0.500 LLR=-0.57 [CONTINUE]
 552 games  +70 =412 -70   -0 Elo +/- 15   5182s      mean=0.500 LLR=-0.58 [CONTINUE]
 553 games  +70 =413 -70   -0 Elo +/- 15   5183s      mean=0.500 LLR=-0.58 [CONTINUE]
 554 games  +70 =414 -70   -0 Elo +/- 15   5201s      mean=0.500 LLR=-0.58 [CONTINUE]
 555 games  +70 =415 -70   -0 Elo +/- 15   5207s      mean=0.500 LLR=-0.58 [CONTINUE]
 556 games  +70 =416 -70   -0 Elo +/- 15   5212s      mean=0.500 LLR=-0.59 [CONTINUE]
 557 games  +70 =417 -70   -0 Elo +/- 14   5225s      mean=0.500 LLR=-0.59 [CONTINUE]
 558 games  +70 =418 -70   -0 Elo +/- 14   5238s      mean=0.500 LLR=-0.59 [CONTINUE]
 559 games  +70 =418 -71   -1 Elo +/- 14   5238s      mean=0.499 LLR=-0.68 [CONTINUE]
 560 games  +70 =418 -72   -1 Elo +/- 14   5251s      mean=0.498 LLR=-0.77 [CONTINUE]
 561 games  +70 =419 -72   -1 Elo +/- 14   5262s      mean=0.498 LLR=-0.77 [CONTINUE]
 562 games  +71 =419 -72   -1 Elo +/- 14   5268s      mean=0.499 LLR=-0.68 [CONTINUE]
 563 games  +71 =419 -73   -1 Elo +/- 15   5285s      mean=0.498 LLR=-0.76 [CONTINUE]
 564 games  +71 =420 -73   -1 Elo +/- 14   5291s      mean=0.498 LLR=-0.77 [CONTINUE]
 565 games  +72 =420 -73   -1 Elo +/- 15   5301s      mean=0.499 LLR=-0.67 [CONTINUE]
 566 games  +72 =421 -73   -1 Elo +/- 14   5312s      mean=0.499 LLR=-0.68 [CONTINUE]
 567 games  +72 =422 -73   -1 Elo +/- 14   5314s      mean=0.499 LLR=-0.68 [CONTINUE]
 568 games  +72 =423 -73   -1 Elo +/- 14   5332s      mean=0.499 LLR=-0.68 [CONTINUE]
 569 games  +72 =424 -73   -1 Elo +/- 14   5338s      mean=0.499 LLR=-0.68 [CONTINUE]
 570 games  +72 =425 -73   -1 Elo +/- 14   5341s      mean=0.499 LLR=-0.68 [CONTINUE]
 571 games  +72 =426 -73   -1 Elo +/- 14   5355s      mean=0.499 LLR=-0.69 [CONTINUE]
 572 games  +72 =426 -74   -1 Elo +/- 14   5373s      mean=0.498 LLR=-0.77 [CONTINUE]
 573 games  +72 =427 -74   -1 Elo +/- 14   5373s      mean=0.498 LLR=-0.78 [CONTINUE]
 574 games  +72 =428 -74   -1 Elo +/- 14   5386s      mean=0.498 LLR=-0.78 [CONTINUE]
 575 games  +72 =428 -75   -2 Elo +/- 14   5402s      mean=0.497 LLR=-0.87 [CONTINUE]
 576 games  +72 =429 -75   -2 Elo +/- 14   5403s      mean=0.497 LLR=-0.87 [CONTINUE]
 577 games  +72 =430 -75   -2 Elo +/- 14   5418s      mean=0.497 LLR=-0.87 [CONTINUE]
 578 games  +72 =431 -75   -2 Elo +/- 14   5423s      mean=0.497 LLR=-0.87 [CONTINUE]
 579 games  +72 =432 -75   -2 Elo +/- 14   5429s      mean=0.497 LLR=-0.88 [CONTINUE]
 580 games  +72 =432 -76   -2 Elo +/- 14   5446s      mean=0.497 LLR=-0.96 [CONTINUE]
 581 games  +72 =433 -76   -2 Elo +/- 14   5449s      mean=0.497 LLR=-0.97 [CONTINUE]
 582 games  +72 =434 -76   -2 Elo +/- 14   5456s      mean=0.497 LLR=-0.97 [CONTINUE]
 583 games  +72 =435 -76   -2 Elo +/- 14   5475s      mean=0.497 LLR=-0.97 [CONTINUE]
 584 games  +72 =435 -77   -3 Elo +/- 14   5475s      mean=0.496 LLR=-1.06 [CONTINUE]
 585 games  +72 =436 -77   -3 Elo +/- 14   5486s      mean=0.496 LLR=-1.06 [CONTINUE]
 586 games  +72 =437 -77   -3 Elo +/- 14   5501s      mean=0.496 LLR=-1.06 [CONTINUE]
 587 games  +72 =438 -77   -3 Elo +/- 14   5503s      mean=0.496 LLR=-1.07 [CONTINUE]
 588 games  +73 =438 -77   -2 Elo +/- 14   5517s      mean=0.497 LLR=-0.97 [CONTINUE]
 589 games  +74 =438 -77   -2 Elo +/- 14   5526s      mean=0.497 LLR=-0.88 [CONTINUE]
 590 games  +74 =439 -77   -2 Elo +/- 14   5531s      mean=0.497 LLR=-0.88 [CONTINUE]
 591 games  +74 =440 -77   -2 Elo +/- 14   5549s      mean=0.497 LLR=-0.88 [CONTINUE]
 592 games  +74 =440 -78   -2 Elo +/- 14   5551s      mean=0.497 LLR=-0.97 [CONTINUE]
 593 games  +74 =441 -78   -2 Elo +/- 14   5558s      mean=0.497 LLR=-0.97 [CONTINUE]
 594 games  +74 =442 -78   -2 Elo +/- 14   5575s      mean=0.497 LLR=-0.98 [CONTINUE]
 595 games  +74 =443 -78   -2 Elo +/- 14   5581s      mean=0.497 LLR=-0.98 [CONTINUE]
 596 games  +74 =444 -78   -2 Elo +/- 14   5583s      mean=0.497 LLR=-0.98 [CONTINUE]
 597 games  +74 =445 -78   -2 Elo +/- 14   5599s      mean=0.497 LLR=-0.98 [CONTINUE]
 598 games  +75 =445 -78   -2 Elo +/- 14   5607s      mean=0.497 LLR=-0.89 [CONTINUE]
 599 games  +75 =445 -79   -2 Elo +/- 14   5618s      mean=0.497 LLR=-0.98 [CONTINUE]
 600 games  +75 =445 -80   -3 Elo +/- 14   5629s      mean=0.496 LLR=-1.06 [CONTINUE]
 601 games  +75 =446 -80   -3 Elo +/- 14   5632s      mean=0.496 LLR=-1.06 [CONTINUE]
 602 games  +75 =447 -80   -3 Elo +/- 14   5643s      mean=0.496 LLR=-1.07 [CONTINUE]
 603 games  +75 =448 -80   -3 Elo +/- 14   5653s      mean=0.496 LLR=-1.07 [CONTINUE]
 604 games  +75 =449 -80   -3 Elo +/- 14   5659s      mean=0.496 LLR=-1.07 [CONTINUE]
 605 games  +76 =449 -80   -2 Elo +/- 14   5671s      mean=0.497 LLR=-0.98 [CONTINUE]
 606 games  +76 =450 -80   -2 Elo +/- 14   5673s      mean=0.497 LLR=-0.98 [CONTINUE]
 607 games  +76 =451 -80   -2 Elo +/- 14   5686s      mean=0.497 LLR=-0.98 [CONTINUE]
 608 games  +76 =452 -80   -2 Elo +/- 14   5697s      mean=0.497 LLR=-0.99 [CONTINUE]
 609 games  +76 =453 -80   -2 Elo +/- 14   5701s      mean=0.497 LLR=-0.99 [CONTINUE]
 610 games  +76 =454 -80   -2 Elo +/- 14   5711s      mean=0.497 LLR=-0.99 [CONTINUE]
 611 games  +76 =455 -80   -2 Elo +/- 14   5727s      mean=0.497 LLR=-1.00 [CONTINUE]
 612 games  +76 =455 -81   -3 Elo +/- 14   5732s      mean=0.496 LLR=-1.08 [CONTINUE]
 613 games  +76 =456 -81   -3 Elo +/- 14   5739s      mean=0.496 LLR=-1.08 [CONTINUE]
 614 games  +76 =457 -81   -3 Elo +/- 14   5753s      mean=0.496 LLR=-1.09 [CONTINUE]
 615 games  +76 =458 -81   -3 Elo +/- 14   5759s      mean=0.496 LLR=-1.09 [CONTINUE]
 616 games  +77 =458 -81   -2 Elo +/- 14   5772s      mean=0.497 LLR=-1.00 [CONTINUE]
 617 games  +77 =459 -81   -2 Elo +/- 14   5779s      mean=0.497 LLR=-1.00 [CONTINUE]
 618 games  +77 =460 -81   -2 Elo +/- 14   5785s      mean=0.497 LLR=-1.00 [CONTINUE]
 619 games  +77 =461 -81   -2 Elo +/- 14   5803s      mean=0.497 LLR=-1.00 [CONTINUE]
 620 games  +77 =461 -82   -3 Elo +/- 14   5813s      mean=0.496 LLR=-1.09 [CONTINUE]
 621 games  +77 =462 -82   -3 Elo +/- 14   5816s      mean=0.496 LLR=-1.09 [CONTINUE]
 622 games  +77 =463 -82   -3 Elo +/- 14   5827s      mean=0.496 LLR=-1.10 [CONTINUE]
 623 games  +77 =464 -82   -3 Elo +/- 14   5847s      mean=0.496 LLR=-1.10 [CONTINUE]
 624 games  +78 =464 -82   -2 Elo +/- 14   5848s      mean=0.497 LLR=-1.00 [CONTINUE]
 625 games  +78 =464 -83   -3 Elo +/- 14   5856s      mean=0.496 LLR=-1.09 [CONTINUE]
 626 games  +78 =465 -83   -3 Elo +/- 14   5875s      mean=0.496 LLR=-1.09 [CONTINUE]
 627 games  +79 =465 -83   -2 Elo +/- 14   5880s      mean=0.497 LLR=-1.00 [CONTINUE]
 628 games  +79 =466 -83   -2 Elo +/- 14   5882s      mean=0.497 LLR=-1.00 [CONTINUE]
 629 games  +79 =467 -83   -2 Elo +/- 14   5902s      mean=0.497 LLR=-1.00 [CONTINUE]
 630 games  +79 =468 -83   -2 Elo +/- 14   5907s      mean=0.497 LLR=-1.01 [CONTINUE]
 631 games  +79 =469 -83   -2 Elo +/- 14   5909s      mean=0.497 LLR=-1.01 [CONTINUE]
 632 games  +79 =470 -83   -2 Elo +/- 14   5923s      mean=0.497 LLR=-1.01 [CONTINUE]
 633 games  +79 =471 -83   -2 Elo +/- 14   5932s      mean=0.497 LLR=-1.02 [CONTINUE]
 634 games  +79 =472 -83   -2 Elo +/- 14   5940s      mean=0.497 LLR=-1.02 [CONTINUE]
 635 games  +79 =473 -83   -2 Elo +/- 14   5947s      mean=0.497 LLR=-1.02 [CONTINUE]
 636 games  +79 =473 -84   -3 Elo +/- 14   5957s      mean=0.496 LLR=-1.11 [CONTINUE]
 637 games  +79 =474 -84   -3 Elo +/- 14   5964s      mean=0.496 LLR=-1.11 [CONTINUE]
 638 games  +79 =475 -84   -3 Elo +/- 14   5975s      mean=0.496 LLR=-1.11 [CONTINUE]
 639 games  +79 =476 -84   -3 Elo +/- 14   5981s      mean=0.496 LLR=-1.12 [CONTINUE]
 640 games  +79 =477 -84   -3 Elo +/- 14   5990s      mean=0.496 LLR=-1.12 [CONTINUE]
 641 games  +80 =477 -84   -2 Elo +/- 14   6007s      mean=0.497 LLR=-1.02 [CONTINUE]
 642 games  +80 =478 -84   -2 Elo +/- 14   6007s      mean=0.497 LLR=-1.03 [CONTINUE]
 643 games  +80 =478 -85   -3 Elo +/- 14   6022s      mean=0.496 LLR=-1.11 [CONTINUE]
 644 games  +80 =479 -85   -3 Elo +/- 14   6032s      mean=0.496 LLR=-1.12 [CONTINUE]
 645 games  +80 =479 -86   -3 Elo +/- 14   6036s      mean=0.495 LLR=-1.20 [CONTINUE]
 646 games  +80 =480 -86   -3 Elo +/- 14   6051s      mean=0.495 LLR=-1.20 [CONTINUE]
 647 games  +81 =480 -86   -3 Elo +/- 14   6065s      mean=0.496 LLR=-1.11 [CONTINUE]
 648 games  +81 =481 -86   -3 Elo +/- 14   6067s      mean=0.496 LLR=-1.11 [CONTINUE]
 649 games  +81 =482 -86   -3 Elo +/- 14   6085s      mean=0.496 LLR=-1.12 [CONTINUE]
 650 games  +81 =483 -86   -3 Elo +/- 14   6090s      mean=0.496 LLR=-1.12 [CONTINUE]
 651 games  +81 =484 -86   -3 Elo +/- 14   6092s      mean=0.496 LLR=-1.12 [CONTINUE]
 652 games  +81 =485 -86   -3 Elo +/- 14   6118s      mean=0.496 LLR=-1.12 [CONTINUE]
 653 games  +81 =486 -86   -3 Elo +/- 13   6119s      mean=0.496 LLR=-1.13 [CONTINUE]
 654 games  +82 =486 -86   -2 Elo +/- 14   6122s      mean=0.497 LLR=-1.03 [CONTINUE]
 655 games  +82 =487 -86   -2 Elo +/- 13   6145s      mean=0.497 LLR=-1.04 [CONTINUE]
 656 games  +82 =488 -86   -2 Elo +/- 13   6146s      mean=0.497 LLR=-1.04 [CONTINUE]
 657 games  +82 =489 -86   -2 Elo +/- 13   6153s      mean=0.497 LLR=-1.04 [CONTINUE]
 658 games  +82 =490 -86   -2 Elo +/- 13   6169s      mean=0.497 LLR=-1.04 [CONTINUE]
 659 games  +82 =491 -86   -2 Elo +/- 13   6170s      mean=0.497 LLR=-1.05 [CONTINUE]
 660 games  +82 =492 -86   -2 Elo +/- 13   6176s      mean=0.497 LLR=-1.05 [CONTINUE]
 661 games  +82 =493 -86   -2 Elo +/- 13   6196s      mean=0.497 LLR=-1.05 [CONTINUE]
 662 games  +83 =493 -86   -2 Elo +/- 13   6200s      mean=0.498 LLR=-0.96 [CONTINUE]
 663 games  +83 =494 -86   -2 Elo +/- 13   6202s      mean=0.498 LLR=-0.96 [CONTINUE]
 664 games  +83 =495 -86   -2 Elo +/- 13   6221s      mean=0.498 LLR=-0.96 [CONTINUE]
 665 games  +83 =496 -86   -2 Elo +/- 13   6229s      mean=0.498 LLR=-0.97 [CONTINUE]
 666 games  +83 =497 -86   -2 Elo +/- 13   6231s      mean=0.498 LLR=-0.97 [CONTINUE]
 667 games  +83 =498 -86   -2 Elo +/- 13   6242s      mean=0.498 LLR=-0.97 [CONTINUE]
 668 games  +83 =499 -86   -2 Elo +/- 13   6256s      mean=0.498 LLR=-0.97 [CONTINUE]
 669 games  +83 =500 -86   -2 Elo +/- 13   6261s      mean=0.498 LLR=-0.98 [CONTINUE]
 670 games  +83 =501 -86   -2 Elo +/- 13   6266s      mean=0.498 LLR=-0.98 [CONTINUE]
 671 games  +83 =502 -86   -2 Elo +/- 13   6280s      mean=0.498 LLR=-0.98 [CONTINUE]
 672 games  +83 =503 -86   -2 Elo +/- 13   6285s      mean=0.498 LLR=-0.98 [CONTINUE]
 673 games  +83 =504 -86   -2 Elo +/- 13   6290s      mean=0.498 LLR=-0.99 [CONTINUE]
 674 games  +83 =504 -87   -2 Elo +/- 13   6310s      mean=0.497 LLR=-1.07 [CONTINUE]
 675 games  +83 =505 -87   -2 Elo +/- 13   6311s      mean=0.497 LLR=-1.08 [CONTINUE]
 676 games  +84 =505 -87   -2 Elo +/- 13   6320s      mean=0.498 LLR=-0.98 [CONTINUE]
 677 games  +85 =505 -87   -1 Elo +/- 13   6339s      mean=0.499 LLR=-0.89 [CONTINUE]
 678 games  +86 =505 -87   -1 Elo +/- 13   6342s      mean=0.499 LLR=-0.79 [CONTINUE]
 679 games  +86 =506 -87   -1 Elo +/- 13   6343s      mean=0.499 LLR=-0.80 [CONTINUE]
 680 games  +86 =507 -87   -1 Elo +/- 13   6369s      mean=0.499 LLR=-0.80 [CONTINUE]
 681 games  +87 =507 -87   -0 Elo +/- 13   6370s      mean=0.500 LLR=-0.71 [CONTINUE]
 682 games  +87 =508 -87   -0 Elo +/- 13   6371s      mean=0.500 LLR=-0.71 [CONTINUE]
 683 games  +87 =509 -87   -0 Elo +/- 13   6396s      mean=0.500 LLR=-0.71 [CONTINUE]
 684 games  +87 =510 -87   -0 Elo +/- 13   6396s      mean=0.500 LLR=-0.71 [CONTINUE]
 685 games  +87 =511 -87   -0 Elo +/- 13   6397s      mean=0.500 LLR=-0.71 [CONTINUE]
 686 games  +87 =512 -87   -0 Elo +/- 13   6426s      mean=0.500 LLR=-0.72 [CONTINUE]
 687 games  +87 =513 -87   -0 Elo +/- 13   6428s      mean=0.500 LLR=-0.72 [CONTINUE]
 688 games  +87 =514 -87   -0 Elo +/- 13   6429s      mean=0.500 LLR=-0.72 [CONTINUE]
 689 games  +87 =515 -87   -0 Elo +/- 13   6453s      mean=0.500 LLR=-0.72 [CONTINUE]
 690 games  +87 =516 -87   -0 Elo +/- 13   6456s      mean=0.500 LLR=-0.73 [CONTINUE]
 691 games  +87 =517 -87   -0 Elo +/- 13   6457s      mean=0.500 LLR=-0.73 [CONTINUE]
 692 games  +88 =517 -87   +1 Elo +/- 13   6481s      mean=0.501 LLR=-0.63 [CONTINUE]
 693 games  +88 =518 -87   +1 Elo +/- 13   6484s      mean=0.501 LLR=-0.64 [CONTINUE]
 694 games  +88 =518 -88   -0 Elo +/- 13   6485s      mean=0.500 LLR=-0.73 [CONTINUE]
 695 games  +88 =519 -88   -0 Elo +/- 13   6507s      mean=0.500 LLR=-0.73 [CONTINUE]
 696 games  +88 =520 -88   -0 Elo +/- 13   6511s      mean=0.500 LLR=-0.73 [CONTINUE]
 697 games  +89 =520 -88   +0 Elo +/- 13   6515s      mean=0.501 LLR=-0.64 [CONTINUE]
 698 games  +89 =521 -88   +0 Elo +/- 13   6539s      mean=0.501 LLR=-0.64 [CONTINUE]
 699 games  +89 =522 -88   +0 Elo +/- 13   6540s      mean=0.501 LLR=-0.64 [CONTINUE]
 700 games  +89 =523 -88   +0 Elo +/- 13   6545s      mean=0.501 LLR=-0.64 [CONTINUE]
 701 games  +89 =524 -88   +0 Elo +/- 13   6562s      mean=0.501 LLR=-0.64 [CONTINUE]
 702 games  +89 =525 -88   +0 Elo +/- 13   6565s      mean=0.501 LLR=-0.65 [CONTINUE]
 703 games  +89 =526 -88   +0 Elo +/- 13   6571s      mean=0.501 LLR=-0.65 [CONTINUE]
 704 games  +89 =527 -88   +0 Elo +/- 13   6591s      mean=0.501 LLR=-0.65 [CONTINUE]
 705 games  +89 =528 -88   +0 Elo +/- 13   6597s      mean=0.501 LLR=-0.65 [CONTINUE]
 706 games  +89 =529 -88   +0 Elo +/- 13   6599s      mean=0.501 LLR=-0.65 [CONTINUE]
 707 games  +89 =530 -88   +0 Elo +/- 13   6611s      mean=0.501 LLR=-0.66 [CONTINUE]
 708 games  +89 =531 -88   +0 Elo +/- 13   6624s      mean=0.501 LLR=-0.66 [CONTINUE]
 709 games  +89 =532 -88   +0 Elo +/- 13   6627s      mean=0.501 LLR=-0.66 [CONTINUE]
 710 games  +89 =533 -88   +0 Elo +/- 13   6638s      mean=0.501 LLR=-0.66 [CONTINUE]
 711 games  +89 =534 -88   +0 Elo +/- 13   6647s      mean=0.501 LLR=-0.66 [CONTINUE]
 712 games  +89 =535 -88   +0 Elo +/- 13   6650s      mean=0.501 LLR=-0.67 [CONTINUE]
 713 games  +89 =535 -89   -0 Elo +/- 13   6666s      mean=0.500 LLR=-0.76 [CONTINUE]
 714 games  +89 =535 -90   -0 Elo +/- 13   6678s      mean=0.499 LLR=-0.85 [CONTINUE]
 715 games  +90 =535 -90   -0 Elo +/- 13   6681s      mean=0.500 LLR=-0.75 [CONTINUE]
 716 games  +90 =536 -90   -0 Elo +/- 13   6694s      mean=0.500 LLR=-0.75 [CONTINUE]
 717 games  +90 =537 -90   -0 Elo +/- 13   6704s      mean=0.500 LLR=-0.76 [CONTINUE]
 718 games  +90 =538 -90   -0 Elo +/- 13   6707s      mean=0.500 LLR=-0.76 [CONTINUE]
 719 games  +90 =539 -90   -0 Elo +/- 13   6718s      mean=0.500 LLR=-0.76 [CONTINUE]
 720 games  +90 =540 -90   -0 Elo +/- 13   6728s      mean=0.500 LLR=-0.76 [CONTINUE]
 721 games  +90 =541 -90   -0 Elo +/- 13   6730s      mean=0.500 LLR=-0.77 [CONTINUE]
 722 games  +90 =542 -90   -0 Elo +/- 13   6746s      mean=0.500 LLR=-0.77 [CONTINUE]
 723 games  +90 =543 -90   -0 Elo +/- 13   6754s      mean=0.500 LLR=-0.77 [CONTINUE]
 724 games  +91 =543 -90   +0 Elo +/- 13   6760s      mean=0.501 LLR=-0.68 [CONTINUE]
 725 games  +91 =544 -90   +0 Elo +/- 13   6773s      mean=0.501 LLR=-0.68 [CONTINUE]
 726 games  +91 =545 -90   +0 Elo +/- 13   6787s      mean=0.501 LLR=-0.68 [CONTINUE]
 727 games  +92 =545 -90   +1 Elo +/- 13   6788s      mean=0.501 LLR=-0.59 [CONTINUE]
 728 games  +92 =545 -91   +0 Elo +/- 13   6803s      mean=0.501 LLR=-0.68 [CONTINUE]
 729 games  +92 =546 -91   +0 Elo +/- 13   6813s      mean=0.501 LLR=-0.68 [CONTINUE]
 730 games  +92 =547 -91   +0 Elo +/- 13   6816s      mean=0.501 LLR=-0.68 [CONTINUE]
 731 games  +92 =548 -91   +0 Elo +/- 13   6832s      mean=0.501 LLR=-0.68 [CONTINUE]
 732 games  +92 =549 -91   +0 Elo +/- 13   6839s      mean=0.501 LLR=-0.68 [CONTINUE]
 733 games  +92 =550 -91   +0 Elo +/- 13   6844s      mean=0.501 LLR=-0.69 [CONTINUE]
 734 games  +92 =551 -91   +0 Elo +/- 13   6860s      mean=0.501 LLR=-0.69 [CONTINUE]
 735 games  +92 =552 -91   +0 Elo +/- 13   6867s      mean=0.501 LLR=-0.69 [CONTINUE]
 736 games  +93 =552 -91   +1 Elo +/- 13   6872s      mean=0.501 LLR=-0.60 [CONTINUE]
 737 games  +93 =553 -91   +1 Elo +/- 13   6885s      mean=0.501 LLR=-0.60 [CONTINUE]
 738 games  +93 =554 -91   +1 Elo +/- 13   6893s      mean=0.501 LLR=-0.60 [CONTINUE]
 739 games  +93 =555 -91   +1 Elo +/- 13   6899s      mean=0.501 LLR=-0.60 [CONTINUE]
 740 games  +94 =555 -91   +1 Elo +/- 13   6919s      mean=0.502 LLR=-0.51 [CONTINUE]
 741 games  +95 =555 -91   +2 Elo +/- 13   6925s      mean=0.503 LLR=-0.42 [CONTINUE]
 742 games  +95 =556 -91   +2 Elo +/- 13   6930s      mean=0.503 LLR=-0.42 [CONTINUE]
 743 games  +95 =557 -91   +2 Elo +/- 13   6949s      mean=0.503 LLR=-0.42 [CONTINUE]
 744 games  +95 =558 -91   +2 Elo +/- 12   6954s      mean=0.503 LLR=-0.42 [CONTINUE]
 745 games  +96 =558 -91   +2 Elo +/- 13   6956s      mean=0.503 LLR=-0.33 [CONTINUE]
 746 games  +96 =559 -91   +2 Elo +/- 12   6978s      mean=0.503 LLR=-0.33 [CONTINUE]
 747 games  +97 =559 -91   +3 Elo +/- 13   6984s      mean=0.504 LLR=-0.24 [CONTINUE]
 748 games  +97 =560 -91   +3 Elo +/- 12   6987s      mean=0.504 LLR=-0.24 [CONTINUE]
 749 games  +97 =560 -92   +2 Elo +/- 13   7009s      mean=0.503 LLR=-0.33 [CONTINUE]
 750 games  +97 =561 -92   +2 Elo +/- 12   7011s      mean=0.503 LLR=-0.33 [CONTINUE]
 751 games  +98 =561 -92   +3 Elo +/- 13   7017s      mean=0.504 LLR=-0.24 [CONTINUE]
 752 games  +98 =561 -93   +2 Elo +/- 13   7037s      mean=0.503 LLR=-0.33 [CONTINUE]
 753 games  +98 =561 -94   +2 Elo +/- 13   7038s      mean=0.503 LLR=-0.42 [CONTINUE]
 754 games  +98 =562 -94   +2 Elo +/- 13   7045s      mean=0.503 LLR=-0.42 [CONTINUE]
 755 games  +98 =563 -94   +2 Elo +/- 13   7060s      mean=0.503 LLR=-0.42 [CONTINUE]
 756 games  +98 =564 -94   +2 Elo +/- 12   7065s      mean=0.503 LLR=-0.43 [CONTINUE]
